n_cores,chunking_factor,n_chunks,grid_width,grid_height,max_iterations,complexity,serial_time,parallel_time,speedup,efficiency_percent
1,1,1,4096,4096,100,1677721600,25.71551775932312,25.71551775932312,1.0,100.0
2,1,2,4096,4096,100,1677721600,25.71551775932312,13.563462734222412,1.8959404588062505,94.79702294031253
4,1,4,4096,4096,100,1677721600,25.71551775932312,10.178677082061768,2.5264106083729154,63.16026520932289
6,1,6,4096,4096,100,1677721600,25.71551775932312,7.567056894302368,3.398351316571397,56.63918860952328
8,1,8,4096,4096,100,1677721600,25.71551775932312,6.229180812835693,4.1282342786284785,51.60292848285598
10,1,10,4096,4096,100,1677721600,25.71551775932312,5.189244985580444,4.95554128409428,49.5554128409428
12,1,12,4096,4096,100,1677721600,25.71551775932312,4.650114059448242,5.530083226039059,46.08402688365882
14,1,14,4096,4096,100,1677721600,25.71551775932312,4.3191752433776855,5.953802823525411,42.52716302518151
2,10,20,4096,4096,100,1677721600,25.71551775932312,13.705234050750732,1.8763282454059587,93.81641227029793
4,10,40,4096,4096,100,1677721600,25.71551775932312,7.375186204910278,3.486761831477848,87.1690457869462
6,10,60,4096,4096,100,1677721600,25.71551775932312,5.0102152824401855,5.132617324738705,85.54362207897842
8,10,80,4096,4096,100,1677721600,25.71551775932312,4.057582855224609,6.337644523071513,79.22055653839392
10,10,100,4096,4096,100,1677721600,25.71551775932312,3.690443992614746,6.968136574023228,69.68136574023228
12,10,120,4096,4096,100,1677721600,25.71551775932312,3.5270678997039795,7.290905219454771,60.757543495456424
14,10,140,4096,4096,100,1677721600,25.71551775932312,3.369779109954834,7.63121763184881,54.50869737034865
2,25,50,4096,4096,100,1677721600,25.71551775932312,13.475262880325317,1.908349988249157,95.41749941245786
4,25,100,4096,4096,100,1677721600,25.71551775932312,7.2416298389434814,3.5510676921143056,88.77669230285764
6,25,150,4096,4096,100,1677721600,25.71551775932312,5.200212001800537,4.945090267554343,82.41817112590572
8,25,200,4096,4096,100,1677721600,25.71551775932312,4.04484486579895,6.357602976756863,79.47003720946078
10,25,250,4096,4096,100,1677721600,25.71551775932312,3.525540828704834,7.294063239871808,72.94063239871808
12,25,300,4096,4096,100,1677721600,25.71551775932312,3.4166979789733887,7.526424026231851,62.720200218598755
14,25,350,4096,4096,100,1677721600,25.71551775932312,3.458760976791382,7.434892995461876,53.1063785390134
2,50,100,4096,4096,100,1677721600,25.71551775932312,13.52600383758545,1.9011910737350228,95.05955368675114
4,50,200,4096,4096,100,1677721600,25.71551775932312,7.230325937271118,3.556619436305622,88.91548590764054
6,50,300,4096,4096,100,1677721600,25.71551775932312,5.041729211807251,5.100535288388718,85.0089214731453
8,50,400,4096,4096,100,1677721600,25.71551775932312,3.9891300201416016,6.44639749255661,80.57996865695762
10,50,500,4096,4096,100,1677721600,25.71551775932312,3.337773084640503,7.704393650263024,77.04393650263025
12,50,600,4096,4096,100,1677721600,25.71551775932312,3.80855393409729,6.75204242983059,56.26702024858825
14,50,700,4096,4096,100,1677721600,25.71551775932312,4.192346811294556,6.133919476805503,43.813710548610736
2,100,200,4096,4096,100,1677721600,25.71551775932312,13.480424404144287,1.9076192995390708,95.38096497695354
4,100,400,4096,4096,100,1677721600,25.71551775932312,7.297125816345215,3.5240611723757844,88.1015293093946
6,100,600,4096,4096,100,1677721600,25.71551775932312,5.719464063644409,4.496141154690172,74.93568591150287
8,100,800,4096,4096,100,1677721600,25.71551775932312,3.9872801303863525,6.449388284346949,80.61735355433687
10,100,1000,4096,4096,100,1677721600,25.71551775932312,3.3293371200561523,7.723915251601016,77.23915251601017
12,100,1200,4096,4096,100,1677721600,25.71551775932312,3.916264295578003,6.566338688724214,54.719489072701776
14,100,1400,4096,4096,100,1677721600,25.71551775932312,8.077725887298584,3.183509581546732,22.73935415390523
