n_cores,chunking_factor,n_chunks,grid_width,grid_height,max_iterations,complexity,log_complexity,serial_time,parallel_time,speedup,efficiency_percent
1,1,1,256,256,100,6553600,23,0.10028862953186035,0.10028862953186035,1.0,100.0
1,1,1,512,512,100,26214400,25,0.39116430282592773,0.39116430282592773,1.0,100.0
1,1,1,1024,1024,100,104857600,27,1.5607762336730957,1.5607762336730957,1.0,100.0
1,1,1,2048,2048,100,419430400,29,6.228430986404419,6.228430986404419,1.0,100.0
1,1,1,4096,4096,100,1677721600,31,25.44734811782837,25.44734811782837,1.0,100.0
1,1,1,8192,8192,100,6710886400,33,100.25498819351196,100.25498819351196,1.0,100.0
2,1,2,256,256,100,6553600,23,0.10028862953186035,0.4845881462097168,0.20695642333863057,10.347821166931528
2,1,2,512,512,100,26214400,25,0.39116430282592773,0.6172029972076416,0.6337692859490941,31.688464297454704
2,1,2,1024,1024,100,104857600,27,1.5607762336730957,1.2357032299041748,1.2630672121769313,63.15336060884656
2,1,2,2048,2048,100,419430400,29,6.228430986404419,3.732114315032959,1.6688746540577,83.443732702885
2,1,2,4096,4096,100,1677721600,31,25.44734811782837,13.525662183761597,1.8814123679933026,94.07061839966514
2,1,2,8192,8192,100,6710886400,33,100.25498819351196,52.48590278625488,1.9101317281669574,95.50658640834787
4,1,4,256,256,100,6553600,23,0.10028862953186035,0.4904489517211914,0.20448331917094617,5.112082979273654
4,1,4,512,512,100,26214400,25,0.39116430282592773,0.5912020206451416,0.6616423644815603,16.541059112039008
4,1,4,1024,1024,100,104857600,27,1.5607762336730957,1.0526151657104492,1.4827605420445085,37.06901355111271
4,1,4,2048,2048,100,419430400,29,6.228430986404419,2.8366219997406006,2.1957211736262314,54.89302934065579
4,1,4,4096,4096,100,1677721600,31,25.44734811782837,10.040218114852905,2.534541364214296,63.3635341053574
4,1,4,8192,8192,100,6710886400,33,100.25498819351196,38.52833318710327,2.6021107040018716,65.05276760004679
6,1,6,256,256,100,6553600,23,0.10028862953186035,0.4976067543029785,0.20154193781460908,3.359032296910151
6,1,6,512,512,100,26214400,25,0.39116430282592773,0.5765199661254883,0.6784922046234647,11.308203410391078
6,1,6,1024,1024,100,104857600,27,1.5607762336730957,0.9061508178710938,1.7224243502201715,28.707072503669522
6,1,6,2048,2048,100,419430400,29,6.228430986404419,2.226716995239258,2.7971363220925083,46.61893870154181
6,1,6,4096,4096,100,1677721600,31,25.44734811782837,7.5710179805755615,3.3611527780170216,56.01921296695036
6,1,6,8192,8192,100,6710886400,33,100.25498819351196,29.321491956710815,3.4191639477801736,56.98606579633623
8,1,8,256,256,100,6553600,23,0.10028862953186035,0.515143871307373,0.19468081659855507,2.4335102074819384
8,1,8,512,512,100,26214400,25,0.39116430282592773,0.584967851638794,0.6686936756098247,8.358670945122809
8,1,8,1024,1024,100,104857600,27,1.5607762336730957,0.8469109535217285,1.8429047672401513,23.03630959050189
8,1,8,2048,2048,100,419430400,29,6.228430986404419,1.9790961742401123,3.1471088002056637,39.3388600025708
8,1,8,4096,4096,100,1677721600,31,25.44734811782837,6.355136871337891,4.0042171605457755,50.05271450682219
8,1,8,8192,8192,100,6710886400,33,100.25498819351196,24.20296621322632,4.142260387023352,51.778254837791906
10,1,10,256,256,100,6553600,23,0.10028862953186035,0.5292270183563232,0.1895002070063192,1.8950020700631918
10,1,10,512,512,100,26214400,25,0.39116430282592773,0.5861470699310303,0.6673483889835952,6.673483889835952
10,1,10,1024,1024,100,104857600,27,1.5607762336730957,0.8397989273071289,1.858511821011523,18.58511821011523
10,1,10,2048,2048,100,419430400,29,6.228430986404419,1.778656005859375,3.501762547612511,35.01762547612511
10,1,10,4096,4096,100,1677721600,31,25.44734811782837,5.40751576423645,4.705922132697023,47.05922132697024
10,1,10,8192,8192,100,6710886400,33,100.25498819351196,19.999670028686523,5.012832114215446,50.12832114215446
12,1,12,256,256,100,6553600,23,0.10028862953186035,0.5716428756713867,0.17543930625230433,1.4619942187692028
12,1,12,512,512,100,26214400,25,0.39116430282592773,0.6154770851135254,0.635546492772801,5.296220773106675
12,1,12,1024,1024,100,104857600,27,1.5607762336730957,0.8161189556121826,1.9124371795804387,15.936976496503656
12,1,12,2048,2048,100,419430400,29,6.228430986404419,1.6127259731292725,3.862051638145944,32.1837636512162
12,1,12,4096,4096,100,1677721600,31,25.44734811782837,4.8201470375061035,5.279371753562642,43.994764613022014
12,1,12,8192,8192,100,6710886400,33,100.25498819351196,17.734145879745483,5.653217745773432,47.11014788144527
14,1,14,256,256,100,6553600,23,0.10028862953186035,0.6277408599853516,0.159761194347299,1.1411513881949928
14,1,14,512,512,100,26214400,25,0.39116430282592773,0.7066030502319336,0.5535842262463103,3.9541730446165024
14,1,14,1024,1024,100,104857600,27,1.5607762336730957,0.8511009216308594,1.8338321508128241,13.098801077234459
14,1,14,2048,2048,100,419430400,29,6.228430986404419,1.5900778770446777,3.917060337938035,27.97900241384311
14,1,14,4096,4096,100,1677721600,31,25.44734811782837,4.405850648880005,5.77580815734125,41.2557725524375
14,1,14,8192,8192,100,6710886400,33,100.25498819351196,15.965730905532837,6.279386066739303,44.85275761956645
