n_cores,chunking_factor,n_chunks,grid_width,grid_height,max_iterations,complexity,log_complexity,serial_time,parallel_time,speedup,efficiency_percent
1,1,1,256,256,100,6553600,23,0.10425186157226562,0.10425186157226562,1.0,100.0
1,1,1,512,512,100,26214400,25,0.4000377655029297,0.4000377655029297,1.0,100.0
1,1,1,1024,1024,100,104857600,27,1.5832061767578125,1.5832061767578125,1.0,100.0
1,1,1,2048,2048,100,419430400,29,6.379539966583252,6.379539966583252,1.0,100.0
1,1,1,4096,4096,100,1677721600,31,25.417463064193726,25.417463064193726,1.0,100.0
1,1,1,8192,8192,100,6710886400,33,101.32520008087158,101.32520008087158,1.0,100.0
2,1,2,256,256,100,6553600,23,0.10425186157226562,0.5152490139007568,0.20233296670092374,10.116648335046188
2,1,2,512,512,100,26214400,25,0.4000377655029297,0.6478288173675537,0.6175053575549161,30.875267877745806
2,1,2,1024,1024,100,104857600,27,1.5832061767578125,1.2655129432678223,1.2510391025078251,62.55195512539126
2,1,2,2048,2048,100,419430400,29,6.379539966583252,3.711496353149414,1.718859284657481,85.94296423287405
2,1,2,4096,4096,100,1677721600,31,25.417463064193726,13.701558113098145,1.8550782950659928,92.75391475329964
2,1,2,8192,8192,100,6710886400,33,101.32520008087158,52.804579973220825,1.918871433732782,95.94357168663909
4,1,4,256,256,100,6553600,23,0.10425186157226562,0.5272877216339111,0.19771342531781216,4.942835632945304
4,1,4,512,512,100,26214400,25,0.4000377655029297,0.6261692047119141,0.6388652819280338,15.971632048200846
4,1,4,1024,1024,100,104857600,27,1.5832061767578125,1.094947099685669,1.4459202432814426,36.14800608203607
4,1,4,2048,2048,100,419430400,29,6.379539966583252,2.896066904067993,2.202828932447023,55.07072331117557
4,1,4,4096,4096,100,1677721600,31,25.417463064193726,10.098866939544678,2.516862853659869,62.92157134149673
4,1,4,8192,8192,100,6710886400,33,101.32520008087158,39.091970920562744,2.5919695961805185,64.79923990451296
6,1,6,256,256,100,6553600,23,0.10425186157226562,0.5238897800445557,0.19899579175489782,3.316596529248297
6,1,6,512,512,100,26214400,25,0.4000377655029297,0.5956659317016602,0.6715807371425918,11.193012285709864
6,1,6,1024,1024,100,104857600,27,1.5832061767578125,0.9362878799438477,1.6909395183592066,28.182325305986776
6,1,6,2048,2048,100,419430400,29,6.379539966583252,2.260085105895996,2.822698999228228,47.044983320470465
6,1,6,4096,4096,100,1677721600,31,25.417463064193726,7.595376968383789,3.3464386520900065,55.77397753483344
6,1,6,8192,8192,100,6710886400,33,101.32520008087158,29.155035734176636,3.475392759066124,57.92321265110206
8,1,8,256,256,100,6553600,23,0.10425186157226562,0.536513090133667,0.1943137334194256,2.42892166774282
8,1,8,512,512,100,26214400,25,0.4000377655029297,0.6076927185058594,0.6582895488471655,8.228619360589569
8,1,8,1024,1024,100,104857600,27,1.5832061767578125,0.8657679557800293,1.828672643966586,22.858408049582323
8,1,8,2048,2048,100,419430400,29,6.379539966583252,1.9716417789459229,3.235648602452457,40.445607530655714
8,1,8,4096,4096,100,1677721600,31,25.417463064193726,6.346424102783203,4.005005441260533,50.06256801575666
8,1,8,8192,8192,100,6710886400,33,101.32520008087158,24.011111736297607,4.219929555685597,52.74911944606996
10,1,10,256,256,100,6553600,23,0.10425186157226562,0.5478692054748535,0.19028604004473593,1.9028604004473593
10,1,10,512,512,100,26214400,25,0.4000377655029297,0.631737232208252,0.6332344289802083,6.332344289802084
10,1,10,1024,1024,100,104857600,27,1.5832061767578125,0.8448290824890137,1.8739958289473313,18.739958289473314
10,1,10,2048,2048,100,419430400,29,6.379539966583252,1.7800970077514648,3.5838159037420034,35.838159037420034
10,1,10,4096,4096,100,1677721600,31,25.417463064193726,5.461939096450806,4.653560322690181,46.53560322690181
10,1,10,8192,8192,100,6710886400,33,101.32520008087158,20.237766981124878,5.006738153244593,50.06738153244593
12,1,12,256,256,100,6553600,23,0.10425186157226562,0.5913550853729248,0.17629316826881014,1.4691097355734177
12,1,12,512,512,100,26214400,25,0.4000377655029297,0.6968309879302979,0.5740814809213743,4.7840123410114535
12,1,12,1024,1024,100,104857600,27,1.5832061767578125,0.8651018142700195,1.8300807496210556,15.250672913508797
12,1,12,2048,2048,100,419430400,29,6.379539966583252,1.6423711776733398,3.8843472494572193,32.36956041214349
12,1,12,4096,4096,100,1677721600,31,25.417463064193726,4.852281093597412,5.238250335029453,43.65208612524544
12,1,12,8192,8192,100,6710886400,33,101.32520008087158,17.96287703514099,5.640811317844457,47.006760982037136
14,1,14,256,256,100,6553600,23,0.10425186157226562,0.641556978225708,0.16249821155493452,1.1607015111066752
14,1,14,512,512,100,26214400,25,0.4000377655029297,0.7886829376220703,0.5072225433316324,3.6230181666545174
14,1,14,1024,1024,100,104857600,27,1.5832061767578125,0.9776761531829834,1.6193564419091413,11.566831727922438
14,1,14,2048,2048,100,419430400,29,6.379539966583252,1.7194311618804932,3.7102619215102104,26.501870867930073
14,1,14,4096,4096,100,1677721600,31,25.417463064193726,4.71474814414978,5.391054259331451,38.50753042379608
14,1,14,8192,8192,100,6710886400,33,101.32520008087158,16.501412868499756,6.140395424824231,43.85996732017308
